CODGEO,LIBGEO,REG,DEP,E14TST,E14TS0ND,E14TS1,E14TS6,E14TS10,E14TS20,E14TS50,E14TS100,E14TS200,E14TS500
01331,Saint-Alban,82,01,8,7,1,0,0,0,0,0,0,0
01332,Saint-André-de-Bâgé,82,01,25,14,8,1,1,1,0,0,0,0
01333,Saint-André-de-Corcy,82,01,244,145,64,15,13,4,3,0,0,0
01334,Saint-André-d'Huiriat,82,01,28,21,6,0,1,0,0,0,0,0
01335,Saint-André-le-Bouchoux,82,01,11,4,6,0,1,0,0,0,0,0
01336,Saint-André-sur-Vieux-Jonc,82,01,35,25,8,1,0,0,0,1,0,0
01337,Saint-Bénigne,82,01,53,37,9,3,3,0,1,0,0,0
01338,Saint-Benoît,82,01,51,36,10,1,2,1,1,0,0,0
01339,Saint-Bernard,82,01,69,55,12,1,0,0,1,0,0,0
01340,Saint-Bois,82,01,5,3,2,0,0,0,0,0,0,0
01341,Saint-Champ,82,01,9,9,0,0,0,0,0,0,0,0
01342,Sainte-Croix,82,01,24,15,6,2,0,1,0,0,0,0
01343,Saint-Cyr-sur-Menthon,82,01,88,60,20,1,4,1,1,0,1,0
01344,Saint-Denis-lès-Bourg,82,01,295,175,74,24,13,5,4,0,0,0
01345,Saint-Denis-en-Bugey,82,01,89,69,17,3,0,0,0,0,0,0
01346,Saint-Didier-d'Aussiat,82,01,34,25,8,0,1,0,0,0,0,0
01347,Saint-Didier-de-Formans,82,01,94,75,18,0,0,1,0,0,0,0
01348,Saint-Didier-sur-Chalaronne,82,01,174,106,44,12,7,3,1,1,0,0
01349,Saint-Éloi,82,01,19,15,4,0,0,0,0,0,0,0
01350,Saint-Étienne-du-Bois,82,01,113,63,36,5,6,2,1,0,0,0
01351,Saint-Étienne-sur-Chalaronne,82,01,62,49,12,0,1,0,0,0,0,0
01352,Saint-Étienne-sur-Reyssouze,82,01,14,13,0,0,1,0,0,0,0,0
01353,Sainte-Euphémie,82,01,76,44,28,2,2,0,0,0,0,0
01354,Saint-Genis-Pouilly,82,01,543,329,128,38,27,16,5,0,0,0
01355,Saint-Genis-sur-Menthon,82,01,19,13,4,0,2,0,0,0,0,0
01356,Saint-Georges-sur-Renon,82,01,11,8,3,0,0,0,0,0,0,0
01357,Saint-Germain-de-Joux,82,01,18,14,3,1,0,0,0,0,0,0
01358,Saint-Germain-les-Paroisses,82,01,14,9,4,0,1,0,0,0,0,0
01359,Saint-Germain-sur-Renon,82,01,10,8,2,0,0,0,0,0,0,0
01360,Saint-Jean-de-Gonville,82,01,72,54,10,1,4,3,0,0,0,0
01361,Saint-Jean-de-Niost,82,01,83,65,14,2,0,0,1,1,0,0
01362,Saint-Jean-de-Thurigneux,82,01,42,22,18,1,1,0,0,0,0,0
01363,Saint-Jean-le-Vieux,82,01,91,63,21,3,2,1,0,1,0,0
01364,Saint-Jean-sur-Reyssouze,82,01,29,24,4,0,0,0,1,0,0,0
01365,Saint-Jean-sur-Veyle,82,01,48,33,11,1,2,1,0,0,0,0
01366,Sainte-Julie,82,01,26,19,3,1,0,2,0,0,1,0
01367,Saint-Julien-sur-Reyssouze,82,01,35,23,7,2,3,0,0,0,0,0
01368,Saint-Julien-sur-Veyle,82,01,26,19,4,1,1,1,0,0,0,0
01369,Saint-Just,82,01,53,36,9,4,1,0,2,1,0,0
01370,Saint-Laurent-sur-Saône,82,01,137,95,31,9,2,0,0,0,0,0
01371,Saint-Marcel,82,01,39,30,8,1,0,0,0,0,0,0
01372,Saint-Martin-de-Bavel,82,01,22,17,3,2,0,0,0,0,0,0
01373,Saint-Martin-du-Frêne,82,01,76,50,15,1,4,4,2,0,0,0
01374,Saint-Martin-du-Mont,82,01,87,65,15,2,4,1,0,0,0,0
01375,Saint-Martin-le-Châtel,82,01,19,16,1,1,0,1,0,0,0,0
01376,Saint-Maurice-de-Beynost,82,01,207,135,35,11,10,8,4,2,2,0
01378,Saint-Maurice-de-Gourdans,82,01,109,80,23,1,4,0,1,0,0,0
01379,Saint-Maurice-de-Rémens,82,01,19,16,3,0,0,0,0,0,0,0
01380,Saint-Nizier-le-Bouchoux,82,01,31,22,8,1,0,0,0,0,0,0
01381,Saint-Nizier-le-Désert,82,01,39,27,11,1,0,0,0,0,0,0
01382,Sainte-Olive,82,01,16,11,5,0,0,0,0,0,0,0
01383,Saint-Paul-de-Varax,82,01,75,53,14,3,2,1,2,0,0,0
01384,Saint-Rambert-en-Bugey,82,01,134,97,28,1,3,3,2,0,0,0
01385,Saint-Rémy,82,01,50,28,15,2,1,2,2,0,0,0
01386,Saint-Sorlin-en-Bugey,82,01,57,38,12,2,4,0,0,1,0,0
01387,Saint-Sulpice,82,01,9,8,1,0,0,0,0,0,0,0
01388,Saint-Trivier-de-Courtes,82,01,74,45,17,5,3,4,0,0,0,0
01389,Saint-Trivier-sur-Moignans,82,01,122,86,30,0,2,3,1,0,0,0
01390,Saint-Vulbas,82,01,180,87,31,15,16,9,8,10,3,1
01391,Salavre,82,01,13,10,1,0,0,2,0,0,0,0
01392,Samognat,82,01,26,20,5,0,0,1,0,0,0,0
01393,Sandrans,82,01,30,25,4,0,1,0,0,0,0,0
01396,Sault-Brénaz,82,01,45,33,7,0,3,2,0,0,0,0
01397,Sauverny,82,01,33,31,1,0,1,0,0,0,0,0
01398,Savigneux,82,01,75,49,20,1,2,3,0,0,0,0
01399,Ségny,82,01,77,41,29,0,5,1,0,1,0,0
01400,Seillonnaz,82,01,8,8,0,0,0,0,0,0,0,0
01401,Sergy,82,01,40,35,5,0,0,0,0,0,0,0
01402,Sermoyer,82,01,17,12,4,0,1,0,0,0,0,0
01403,Serrières-de-Briord,82,01,66,47,17,1,0,1,0,0,0,0
01404,Serrières-sur-Ain,82,01,7,7,0,0,0,0,0,0,0,0
01405,Servas,82,01,49,30,12,3,1,0,0,3,0,0
01406,Servignat,82,01,4,4,0,0,0,0,0,0,0,0
01407,Seyssel,82,01,63,46,15,0,2,0,0,0,0,0
01408,Simandre-sur-Suran,82,01,28,18,5,3,0,1,1,0,0,0
01409,Songieu,82,01,4,3,0,0,1,0,0,0,0,0
01410,Sonthonnax-la-Montagne,82,01,12,7,4,1,0,0,0,0,0,0
01411,Souclin,82,01,6,5,1,0,0,0,0,0,0,0
01412,Sulignat,82,01,30,24,3,1,2,0,0,0,0,0
01413,Surjoux,82,01,1,0,1,0,0,0,0,0,0,0
01414,Sutrieu,82,01,10,8,2,0,0,0,0,0,0,0
01415,Talissieu,82,01,22,18,2,1,0,1,0,0,0,0
01416,Tenay,82,01,45,30,13,1,0,0,1,0,0,0
01417,Thézillieu,82,01,7,4,3,0,0,0,0,0,0,0
01418,Thil,82,01,47,30,12,2,1,1,0,1,0,0
01419,Thoiry,82,01,287,150,87,27,15,6,0,1,1,0
01420,Thoissey,82,01,115,82,29,2,2,0,0,0,0,0
01421,Torcieu,82,01,28,17,7,0,1,3,0,0,0,0
